bagmans3,Chinese Name,推销员 (Stern Electronics, 修正版 A3)
bagmans4,Chinese Name,推销员 (Stern Electronics, 修正版 A4)
bagnard,Chinese Name,推销员 (第 1 套)
bagnarda,Chinese Name,推销员 (第 2 套)
bagnardi,Chinese Name,推销员 (Itisa, Spain)
bagnardio,Chinese Name,推销员 (Itisa, Spain, 旧版)
bakatono,Chinese Name,傻瓜殿下麻将漫游记 (MOM-002 ~ MOH-002)
bakubrkr,Chinese Name,爆裂战机 (日版)
bakutotu,Chinese Name,爆突机铳艇 
balcube,Chinese Name,弹跳方块 
ballboy,Chinese Name,球童 
ballbros,Chinese Name,气球兄弟 
baluba,Chinese Name,巴鲁巴矿工传说 (日版)
banbam,Chinese Name,翻地雪人 
bang,Chinese Name,射击乐园 
bangball,Chinese Name,碰碰球 (v1.05)
bangbead,Chinese Name,碰碰球 
bangbedp,Long Name,Bang Bead (Prototype?)
bangj,Chinese Name,射击乐园 (日版)
bankp,Chinese Name,银行惊魂记 
baraduke,Chinese Name,爆突 
baryon,Chinese Name,重子战机 - 未来攻略 (第 1 套)
baryona,Chinese Name,重子战机 - 未来攻略 (第 2 套)
batcir,Chinese Name,战斗回路 (欧版 970319)
batcira,Chinese Name,战斗回路 (亚版 970319)
batcird,Chinese Name,战斗回路 (欧版 970319 凤凰版) (盗版)
batcirj,Chinese Name,战斗回路 (日版 970319)
batlball,Chinese Name,战球 (德版, 新版)
batlballa,Chinese Name,战球 (港版)
batlballe,Chinese Name,战球 (港版, 最初版)
